id,pcat_id,code,field1,field2,field3,field4,field5,field6
452,59,BON-STARTER-075,Compatible with TB43,MITSUBISHI,,,,
453,59,BON-STARTER-076,Compatible with TD40,KAWASAKI,,,,
454,59,BON-STARTER-077,Compatible with TU43,MITSUBISHI,,,,
455,59,BON-STARTER-078,Compatible with EZ40,,,,,
456,59,BON-STARTER-079,Compatible with TJ53,KAWASAKI,,,,
457,60,CUERDA-DE-ARRANQUE,Model,,,,,
458,60,HE-STRTROPE-001,Compatible with 2.5mmx100m,,,,,
459,60,HE-STRTROPE-002,Compatible with 3.0mmx100m,,,,,
460,60,HE-STRTROPE-003,Compatible with 3.5mmx100m,,,,,
461,60,HE-STRTROPE-004,Compatible with 4.0mmx100m,,,,,
462,60,HE-STRTROPE-005,Compatible with 4.5mmx100m,,,,,
463,60,HE-STRTROPE-006,Compatible with 5.0mmx100m,,,,,
464,60,HE-STRTROPE-007,Compatible with 5.5mmx100m,,,,,
465,60,HE-STRTROPE-008,Compatible with 6.0mmx50m,,,,,
466,61,CUERDA-METALLICA-CUERDA,Model,Brand,Dimensions,,,
467,61,BON-STRTSPRING-001,"Compatible with Honda - GX100/GX120/GX160 -Honda GX160 5,5/6,5HP",Honda,0.6*6*1450mm,,,
468,61,BON-STRTSPRING-002,Compatible with Honda- GX240 GX270 GX340 GX390 188,Honda,0.6*8*1620mm,,,
469,61,BON-STRTSPRING-003,Compatible with Chinese Brushcutter 40-5,Chinese Brush Cutter,0.5*4*2100mm,,,
470,61,BON-STRTSPRING-004,"Compatible with Chinese Chainsaw 5800 easy type A - iron cover
",Chinese Chainsaw,0.6*45*3200mm,,,
471,61,BON-STRTSPRING-005,Compatible with Stihl -MS-660/066 with Plastic Cover,Stihl,0.5*5*1957mm,,,
472,61,BON-STRTSPRING-006,Compatible with Stihl ST038 S038 MS380/381,Stihl,0.6*5*2340mm,,,
473,61,BON-STRTSPRING-007,Compatible with HUSQVARNA 61/162/268/281/288,Husqvarna,0.6*5*2654mm,,,
474,61,BON-STRTSPRING-008,Compatible with STIHL FS160/FS-180/FS-220/FS-280/FS-290,Stihl,0.5*6*2570mm,,,
475,61,BON-STRTSPRING-009,Compatible with Husqvarna 365,Husqvarna,0.5*5*2650mm,,,
476,61,BON-STRTSPRING-010,Compatible with STIHL 08/038/051/076,Stihl,0.5*8*2475mm,,,
477,61,BON-STRTSPRING-011,Compatible with Stihl FS-85,Stihl,0.35*4*1620mm,,,
478,61,BON-STRTSPRING-012,Compatible with Stihl FS-070,Stihl,0.5*8*2350mm,,,
479,61,BON-STRTSPRING-013,"
Compatible with Stihl MS-361
",Stihl,0.45*4*1755mm,,,
480,61,BON-STRTSPRING-014,Compatible with Stihl MS-290/S029,Stihl,05*5*2000mm,,,
481,61,BON-STRTSPRING-015,Compatible with Stihl FS-85(new),Stihl,0.4*5*2200mm,,,
482,61,BON-STRTSPRING-016,Compatible with Husqvarna - H232R,Husqvarna,0.5*5*2500mm,,,
483,61,BON-STRTSPRING-017,Compatible with Husqvarna -H55/H51,Husqvarna,0.5*5*2497mm,,,
484,61,BON-STRTSPRING-018,Compatible with Husqvarna -132R,Husqvarna,0.4*4*1736mm,,,
485,61,BON-STRTSPRING-019,Compatible with Husqvarna 192,Husqvarna,0.45*4*2286mm,,,
486,61,BON-STRTSPRING-020,Compatible with Chinese Chainsaw 4500/5200 Plastic cover,Chinese Chainsaw,0.5*5*2600mm,,,
487,61,BON-STRTSPRING-021,Compatible with Chinese Chainsaw 3800,Chinese Chainsaw,0.5*4*2500mm,,,
488,61,BON-STRTSPRING-022,Compatible with Chinese Chainsaw 2500,Chinese Chainsaw,0.45*4*1700mm,,,
489,61,BON-STRTSPRING-023,"Compatible with STIHL MS 250, MS 210",Stihl,0.5*5*2000mm,,,
490,62,air-filter,Model,Brand,,,,
491,62,BON-AFILTER-001,"Compatible with 41341410300 STIHL-
FS120, FS200, FS250, FS350,FS450",STIHL,,,,
492,62,BON-AFILTER-002,"Compatible with 17210-ZE2-822
Honda GX240 AND GX270
",Honda,,,,
493,62,BON-AFILTER-003,"Compatible with 17210-ZE0-822
Honda GX110,120 FOR 35 AND 4HP ENGINES
",Honda,,,,
494,62,BON-AFILTER-004,"Compatible with 17210-ZE3-010
Honda GX240,270,340 AND GX390",Honda,,,,
